caldav;https://github.com/python-caldav/caldav;caldav.elements.cdav._to_utc_date_string;OverflowError
TheAlgorithms;https://github.com/TheAlgorithms/Python;digital_image_processing.change_contrast.change_contrast;ZeroDivisionError
;;divide_and_conquer.peak.peak;IndexError
;;divide_and_conquer.max_difference_pair.max_difference;RecursionLimit
;;divide_and_conquer.closest_pair_of_points.euclidean_distance_sqr;IndexError
;;divide_and_conquer.closest_pair_of_points.closest_pair_of_points_sqr;IndexError
;;divide_and_conquer.strassen_matrix_multiplication.matrix_dimensions;IndexError
;;scheduling.MLFQ.multi_level_feedback_queue;IndexError
;;scheduling.first_come_first_served.calculate_turnaround_times;IndexError
;;scheduling.first_come_first_served.calculate_average_turnaround_time;ZeroDivisionError
;;scheduling.first_come_first_served.calculate_average_waiting_time;ZeroDivisionError
;;scheduling.highest_response_ratio_next.calculate_turn_around_time;OverflowError
;;scheduling.job_sequencing_with_deadline.job_sequencing_with_deadlines;ValueError
;;scheduling.job_sequencing_with_deadline.job_sequencing_with_deadlines;IndexError
;;scheduling.job_sequencing_with_deadline.job_sequencing_with_deadlines;OverflowError
;;scheduling.shortest_job_first.calculate_waitingtime;OverflowError
;;scheduling.shortest_job_first.calculate_turnaroundtime;OverflowError
;;scheduling.shortest_job_first.calculate_turnaroundtime;IndexError
;;scheduling.shortest_job_first.calculate_average_times;IndexError
;;scheduling.shortest_job_first.calculate_average_times;ZeroDivisionError
;;linear_algebra.src.polynom_for_points.points_to_polynomial;ZeroDivisionError
;;linear_algebra.src.transformations_2d.rotation;ValueError
;;linear_algebra.src.rank_of_matrix.rank_of_matrix;IndexError
;;geodesy.haversine_distance.haversine_distance;ValueError
;;geodesy.lamberts_ellipsoidal_distance.lamberts_ellipsoidal_distance;ValueError
;;geodesy.lamberts_ellipsoidal_distance.lamberts_ellipsoidal_distance;ZeroDivisionError
;;genetic_algorithm.basic_string.evaluate;IndexError
;;genetic_algorithm.basic_string.crossover;ValueError
;;genetic_algorithm.basic_string.mutate;IndexError
;;genetic_algorithm.basic_string.select;ValueError
;;electronics.coulombs_law.couloumbs_law;OverflowError
;;electronics.resonant_frequency.resonant_frequency;ZeroDivisionError
;;electronics.builtin_voltage.builtin_voltage;ZeroDivisionError
;;electronics.electrical_impedance.electrical_impedance;OverflowError
;;electronics.resistor_equivalence.resistor_parallel;ZeroDivisionError
;;electronics.carrier_concentration.carrier_concentration;OverflowError
;;electronics.electric_conductivity.electric_conductivity;ZeroDivisionError
;;searches.jump_search.jump_search;IndexError
;;searches.ternary_search.lin_search;IndexError
;;searches.ternary_search.rec_ternary_search;IndexError
;;searches.binary_search.bisect_right;IndexError
;;searches.binary_search.bisect_left;IndexError
;;searches.binary_search.insort_left;OverflowError
;;searches.binary_search.insort_right;OverflowError
;;searches.interpolation_search.interpolation_search_by_recursion;IndexError
;;searches.double_linear_search_recursion.search;IndexError
;;sorts.tim_sort.tim_sort;IndexError
;;sorts.pigeon_sort.pigeon_sort;OverflowError
;;sorts.bitonic_sort.bitonic_sort;IndexError
;;sorts.counting_sort.counting_sort;OverflowError
;;sorts.pigeonhole_sort.pigeonhole_sort;ValueError
;;sorts.pigeonhole_sort.pigeonhole_sort;OverflowError
;;sorts.recursive_bubble_sort.bubble_sort;IndexError
;;sorts.random_pivot_quick_sort.quick_sort_random;IndexError
;;strings.credit_card_validator.luhn_validation;ValueError
;;strings.detecting_english_programmatically.get_english_count;ZeroDivisionError
;;strings.is_pangram.is_pangram_faster;IndexError
;;strings.knuth_morris_pratt.kmp;IndexError
;;strings.manacher.palindromic_string;IndexError
;;strings.prefix_function.longest_prefix;ValueError
;;strings.snake_case_to_camel_pascal_case.snake_to_camel_case;IndexError
misterX;https://gitlab.com/tamarinvs19/misterX/;games.generation.generate_city_for_misterx;KeyError
pylint;https://github.com/pylint-dev/pylint/;pylint.checkers.utils.is_attr_protected;IndexError
;;;
;;;
;;;
;;;
;;;
;;;
;;;
